Date,Open,High,Low,Close,Volume,Adj Close
2015-01-23,68.25,68.70,68.25,68.70,35822000,68.70
2015-01-22,67.50,67.90,67.45,67.60,16099000,67.60
2015-01-21,67.20,67.30,67.00,67.25,17536000,67.25
2015-01-16,66.25,66.40,65.35,65.50,9290000,65.50
2015-01-15,65.65,65.95,65.35,65.80,3470000,65.80
2015-01-14,66.00,66.05,65.40,65.60,7194000,65.60
2015-01-13,65.60,66.40,65.40,65.95,6146000,65.95
2015-01-12,65.80,66.15,65.65,65.75,9047000,65.75
2015-01-09,66.90,66.95,66.05,66.15,5877000,66.15
2015-01-08,65.50,66.60,65.50,66.50,13117000,66.50
2015-01-07,64.70,65.25,64.70,65.00,6979000,65.00
2015-01-06,65.75,65.75,64.75,64.90,19469000,64.90
2015-01-05,66.40,66.75,66.00,66.55,6283000,66.55
2014-12-30,67.15,67.45,66.85,66.85,8556000,66.85
2014-12-29,66.60,67.30,66.55,67.20,11043000,67.20
2014-12-26,66.35,66.50,66.20,66.45,6262000,66.45
2014-12-25,66.35,66.40,66.15,66.30,4400000,66.30
2014-12-24,65.90,66.40,65.85,66.30,6920000,66.30
2014-12-23,66.15,66.30,65.75,65.80,5224000,65.80
2014-12-22,65.35,66.00,65.30,66.00,7407000,66.00
2014-12-19,64.70,65.30,64.60,65.20,17117000,65.20
2014-12-18,63.95,64.10,63.65,63.70,8566000,63.70
2014-12-17,64.55,64.55,63.40,63.55,19551000,63.55
2014-12-16,64.80,65.00,64.55,64.55,12669000,64.55
2014-12-15,64.75,65.10,64.50,65.10,10548000,65.10
2014-12-12,65.25,65.50,65.15,65.30,4425000,65.30
2014-12-11,65.05,65.35,64.70,65.25,6899000,65.25
2014-12-10,65.95,66.15,65.15,65.30,12837000,65.30
2014-12-09,66.25,66.30,66.00,66.20,4604000,66.20
2014-12-08,67.05,67.05,66.35,66.35,7621000,66.35
2014-12-05,67.10,67.10,66.75,66.85,4297000,66.85
2014-12-04,67.25,67.45,67.10,67.10,11355000,67.10
2014-12-03,65.80,67.00,65.70,66.85,10696000,66.85
2014-12-02,66.35,66.50,65.65,65.80,19673000,65.80
2014-12-01,66.30,67.45,66.15,66.80,21255000,66.80
2014-11-28,67.55,67.70,67.35,67.50,9344000,67.50
2014-11-27,67.15,67.85,67.15,67.50,16514000,67.50
2014-11-26,66.75,66.90,66.65,66.85,8904000,66.85
2014-11-25,66.65,67.05,66.45,66.85,13164000,66.85
2014-11-24,66.90,67.20,66.75,66.80,13110000,66.80
2014-11-21,66.60,66.80,66.45,66.65,11922000,66.65
2014-11-20,66.05,66.70,66.05,66.60,20688000,66.60
2014-11-17,66.05,66.10,64.80,65.10,17439000,65.10
2014-11-13,65.00,65.65,65.00,65.65,10816000,65.65
2014-11-12,65.75,65.85,64.90,65.00,18786000,65.00
2014-11-11,66.25,66.35,65.95,65.95,15080000,65.95
2014-11-10,65.40,66.30,65.25,66.15,16354000,66.15
2014-11-07,65.00,65.25,64.70,65.20,10640000,65.20
2014-11-06,65.55,65.70,64.95,65.10,21118000,65.10
2014-11-05,65.80,65.85,65.35,65.50,10529000,65.50
2014-11-04,65.75,66.05,65.55,65.65,10980000,65.65
2014-11-03,65.30,65.90,65.30,65.60,10583000,65.60
2014-10-31,65.00,65.30,64.70,65.30,16546000,65.30
2014-10-30,64.85,64.95,64.55,64.80,9070000,64.80
2014-10-29,64.60,65.00,64.50,65.00,9360000,65.00
2014-10-28,64.00,64.35,64.00,64.35,11152000,64.35
2014-10-27,63.40,63.45,63.00,63.25,8034000,63.25
2014-10-24,63.85,63.85,62.80,63.05,22459000,63.05
2014-10-23,65.30,65.30,65.00,65.05,7019000,63.50
2014-10-22,65.10,65.45,65.00,65.30,9317000,63.74
2014-10-21,64.40,64.55,64.20,64.30,7212000,62.77
2014-10-20,64.25,64.60,63.90,64.60,10799000,63.06
2014-10-17,64.25,64.40,63.35,63.35,15641000,61.84
2014-10-16,63.65,64.35,63.25,64.00,24694000,62.48
2014-10-15,64.45,64.80,63.95,64.10,14382000,62.57
2014-10-14,64.00,64.60,64.00,64.55,12842000,63.01
2014-10-13,64.15,64.55,63.80,64.00,19537000,62.48
2014-10-09,66.10,66.45,65.70,66.00,14961000,64.43
2014-10-08,65.80,66.05,65.70,65.70,8063000,64.13
2014-10-07,66.25,66.25,65.70,66.10,11298000,64.52
2014-10-06,66.65,66.70,66.15,66.65,6616000,65.06
2014-10-03,65.80,66.70,65.60,66.70,16216000,65.11
2014-10-02,65.00,65.75,64.90,65.50,11479000,63.94
2014-10-01,65.05,65.65,64.85,65.50,17471000,63.94
2014-09-30,65.30,65.65,64.65,65.30,20630000,63.74
2014-09-29,65.65,65.70,65.20,65.40,17132000,63.84
