Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,9123.78027,9138.15039,9093.42969,9097.70996,000,9097.70996
2014-12-22,9032.41992,9099.84961,9024.00977,9095.00,000,9095.00
2014-12-19,8981.84961,9035.76953,8953.16992,8999.51953,000,8999.51953
2014-12-18,8912.78027,8946.41992,8876.87988,8878.62988,1975300,8878.62988
2014-12-17,8961.63965,8972.12012,8826.03027,8828.36035,2319700,8828.36035
2014-12-16,8967.82031,9031.07031,8950.91016,8950.91016,1836200,8950.91016
2014-12-15,8987.9502,8997.08008,8943.04004,8985.62988,1671300,8985.62988
2014-12-12,9041.54004,9084.26953,9022.55957,9027.33008,1621300,9027.33008
2014-12-11,9003.83984,9046.40039,8971.53027,9013.07031,1673000,9013.07031
2014-12-10,9115.33008,9140.49023,9015.51953,9032.16016,2150000,9032.16016
2014-12-09,9163.42969,9177.13965,9127.12012,9128.90039,1841800,9128.90039
2014-12-08,9231.24023,9241.62988,9174.50977,9187.29004,2002500,9187.29004
2014-12-05,9220.25,9240.50977,9192.29004,9206.57031,2074700,9206.57031
2014-12-04,9212.84961,9251.84961,9195.15039,9225.11035,2423500,9225.11035
2014-12-03,9073.46973,9188.32031,9045.2002,9175.25977,2695800,9175.25977
2014-12-02,9098.36035,9104.83984,9009.69043,9034.79004,2121500,9034.79004
2014-12-01,9038.41016,9164.54004,8998.5498,9117.70996,2000200,9117.70996
2014-11-28,9163.19043,9201.7998,9158.28027,9187.15039,1671500,9187.15039
2014-11-27,9153.49023,9217.73047,9153.49023,9165.30957,1657900,9165.30957
2014-11-26,9125.08008,9146.04004,9112.19043,9122.38965,1572900,9122.38965
2014-11-25,9125.26953,9153.5498,9098.32031,9116.24023,1863300,9116.24023
2014-11-24,9144.41992,9165.70996,9104.54004,9122.33008,1688500,9122.33008
2014-11-21,9104.33984,9111.17969,9071.86035,9091.53027,1711900,9091.53027
2014-11-20,8984.92969,9078.87012,8984.92969,9078.87012,1984700,9078.87012
2014-11-19,8896.16016,8988.63965,8879.29004,8963.24023,1933300,8963.24023
2014-11-18,8916.08008,8944.25977,8828.15039,8859.07031,1875200,8859.07031
2014-11-17,9003.37012,9024.00,8878.37988,8884.38965,1620300,8884.38965
2014-11-14,8992.40039,8996.37988,8950.23047,8982.87988,1670000,8982.87988
2014-11-13,8947.96973,8980.66992,8927.08984,8980.66992,1337100,8980.66992
2014-11-12,9030.12988,9030.12988,8894.11035,8918.9502,1688500,8918.9502
2014-11-11,9067.54004,9069.44043,9021.54004,9034.13965,1788700,9034.13965
2014-11-10,8937.58984,9062.88965,8937.58984,9049.98047,1844200,9049.98047
2014-11-07,8881.19043,8925.62012,8867.78027,8912.62012,1492600,8912.62012
2014-11-06,8968.79004,8979.96973,8887.36035,8891.01953,1597400,8891.01953
2014-11-05,8997.75977,9013.05957,8941.17969,8962.59961,1633400,8962.59961
2014-11-04,9030.95996,9046.21973,8980.95996,8989.17969,1704900,8989.17969
2014-11-03,9009.37988,9029.70996,8965.50,9004.86035,2063400,9004.86035
2014-10-31,8909.33984,8974.75977,8885.20996,8974.75977,2025800,8974.75977
2014-10-30,8890.19043,8892.99023,8842.7998,8888.07031,1969100,8888.07031
2014-10-29,8821.84961,8903.67969,8821.84961,8903.67969,2169000,8903.67969
2014-10-28,8692.51953,8788.28027,8692.51953,8773.5498,1851800,8773.5498
2014-10-27,8671.50977,8689.66992,8607.23047,8627.78027,1503400,8627.78027
2014-10-24,8740.28027,8750.41992,8629.24023,8646.00977,1539700,8646.00977
2014-10-23,8735.37988,8751.66992,8714.87988,8731.07031,1442500,8731.07031
2014-10-22,8744.91016,8775.34961,8729.76953,8748.83008,1911300,8748.83008
2014-10-21,8676.32031,8676.32031,8636.66992,8654.63965,1380900,8654.63965
2014-10-20,8617.08008,8679.84961,8611.16992,8663.13965,1747800,8663.13965
2014-10-17,8688.70996,8699.76953,8512.87988,8512.87988,2655100,8512.87988
2014-10-16,8602.65039,8676.45996,8501.29004,8633.69043,2514700,8633.69043
2014-10-15,8769.38965,8776.91016,8635.41016,8655.50977,2304300,8655.50977
2014-10-14,8691.83008,8768.38965,8684.19043,8768.38965,1735500,8768.38965
2014-10-13,8767.41992,8795.76953,8711.38965,8711.38965,2328700,8711.38965
2014-10-09,9021.30957,9054.66992,8946.16016,8966.44043,1777200,8966.44043
2014-10-08,8989.99023,9038.61035,8955.17969,8955.17969,1558600,8955.17969
2014-10-07,9065.66992,9074.7998,8993.4502,9040.80957,1569500,9040.80957
2014-10-06,9118.28027,9122.54004,9065.33984,9095.13965,1626000,9095.13965
2014-10-03,9010.2998,9113.7998,8998.26953,9106.28027,1873800,9106.28027
2014-10-02,8959.37012,9010.26953,8913.00977,8975.19043,1825200,8975.19043
2014-10-01,8958.87012,9014.25977,8918.95996,8990.25977,1648000,8990.25977
2014-09-30,8954.58008,8998.83008,8860.16992,8966.91992,2295900,8966.91992
2014-09-29,9018.45996,9018.45996,8948.08984,8960.75977,1713100,8960.75977
2014-09-26,8957.55957,9001.98047,8913.50977,8989.82031,1705600,8989.82031
2014-09-25,9126.75977,9149.41016,8982.50977,9011.58984,2039500,9011.58984
2014-09-24,9071.7998,9123.11035,9071.7998,9098.49023,1582000,9098.49023
2014-09-23,9134.29004,9147.20996,9084.90039,9084.90039,1642800,9084.90039
2014-09-22,9220.54004,9220.54004,9106.26953,9134.65039,1780200,9134.65039
2014-09-19,9268.44043,9289.21973,9235.44043,9240.4502,1815800,9240.4502
2014-09-18,9211.7998,9237.87988,9201.91016,9237.03027,1554700,9237.03027
2014-09-17,9171.04004,9252.37988,9159.84961,9195.16992,1884000,9195.16992
2014-09-16,9218.84961,9219.41992,9133.40039,9133.40039,1719500,9133.40039
2014-09-15,9206.41016,9242.23047,9175.61035,9217.45996,1482600,9217.45996
2014-09-12,9324.74023,9333.28027,9223.17969,9223.17969,1793200,9223.17969
2014-09-11,9376.37988,9381.0498,9322.9502,9322.9502,1702100,9322.9502
2014-09-10,9410.62012,9410.62012,9309.0498,9357.61035,1839600,9357.61035
2014-09-09,9452.13965,9465.92969,9426.99023,9434.76953,1868600,9434.76953
2014-09-05,9446.4502,9451.38965,9365.7002,9407.94043,1650700,9407.94043
2014-09-04,9439.75977,9439.75977,9389.29004,9428.88965,1708100,9428.88965
2014-09-03,9434.87988,9455.78027,9396.79004,9450.34961,1948400,9450.34961
2014-09-02,9503.65039,9503.65039,9388.12988,9399.71973,2082900,9399.71973
2014-09-01,9474.41016,9532.66016,9472.95996,9513.05957,2065000,9513.05957
2014-08-29,9459.80957,9470.15039,9425.34961,9436.26953,2271500,9436.26953
2014-08-28,9499.21973,9502.41992,9453.49023,9478.37012,2707500,9478.37012
2014-08-27,9426.29004,9491.75,9426.29004,9485.58984,2940500,9485.58984
2014-08-26,9394.28027,9418.76953,9386.49023,9393.95996,1984100,9393.95996
2014-08-25,9393.24023,9409.34961,9369.24023,9390.62012,1912300,9390.62012
2014-08-22,9273.07031,9380.59961,9271.87012,9380.09961,2488700,9380.09961
2014-08-21,9286.82031,9289.01953,9217.96973,9253.37988,2038000,9253.37988
2014-08-20,9278.15039,9294.49023,9249.30957,9288.0498,2122000,9288.0498
2014-08-19,9188.62988,9255.08984,9188.62988,9243.78027,1977100,9243.78027
2014-08-18,9222.73047,9222.73047,9128.66016,9141.30957,1992200,9141.30957
2014-08-15,9243.66992,9243.66992,9172.91016,9206.80957,1924300,9206.80957
2014-08-14,9276.41016,9282.00977,9218.5498,9230.61035,2183500,9230.61035
2014-08-13,9155.01953,9231.66016,9147.13965,9231.30957,2033400,9231.30957
2014-08-12,9188.84961,9198.09961,9146.98047,9163.12012,1930900,9163.12012
2014-08-11,9109.83008,9184.95996,9107.20996,9172.91016,1921900,9172.91016
2014-08-08,9120.2002,9120.2002,9014.88965,9085.95996,2139900,9085.95996
2014-08-07,9162.65039,9172.87988,9108.84961,9131.44043,1910100,9131.44043
